tokenizer_id,tokens_per_100_chars_median,tokens_per_100_chars_IQR,bytes_per_token_median,bytes_per_token_IQR,unk_pct_median,rows_with_UNK_gt_0_pct,n_rows,language
ai4bharat/IndicBERTv2-MLM-only,31.43,4.76,3.33,0.55,0.0,0.0,100,English
Xenova/xlm-roberta-base,31.82,4.12,3.24,0.42,0.0,28.0,100,English
InvincibleSloth/muril-tokenizer,32.09,4.7,3.26,0.66,0.0,31.0,100,English
Xenova/bert-base-uncased,33.33,7.07,3.09,0.78,0.0,31.0,100,English
Xenova/bert-base-multilingual-uncased,33.33,5.82,3.13,0.63,0.0,31.0,100,English
openai/tiktoken/o200k_base,33.62,6.35,3.06,0.62,0.0,0.0,100,English
meta-llama/Meta-Llama-3.1-8B-Instruct,35.07,6.34,2.97,0.57,0.0,0.0,100,English
openai/tiktoken/cl100k_base,35.07,6.34,2.97,0.57,0.0,0.0,100,English
Xenova/t5-small,36.0,4.44,2.88,0.37,0.0,43.0,100,English
Xenova/distilgpt2,36.59,6.47,2.77,0.51,0.0,0.0,100,English
mistralai/Mistral-7B-Instruct-v0.3,42.08,11.28,2.48,0.6,0.0,0.0,100,English
ai4bharat/IndicBERTv2-MLM-only,44.19,5.5,6.48,1.4,0.0,0.0,100,Hindi
InvincibleSloth/muril-tokenizer,44.83,4.11,6.48,1.76,0.0,30.0,100,Hindi
Xenova/xlm-roberta-base,48.39,6.07,5.92,1.49,0.0,23.0,100,Hindi
Xenova/bert-base-multilingual-uncased,49.51,5.94,5.55,1.78,0.0,100.0,100,Hindi
openai/tiktoken/o200k_base,56.25,14.14,5.37,0.8,0.0,0.0,100,Hindi
Xenova/bert-base-uncased,62.02,12.54,4.67,1.49,0.0,100.0,100,Hindi
Xenova/t5-small,64.61,5.1,4.55,1.06,0.0,100.0,100,Hindi
meta-llama/Meta-Llama-3.1-8B-Instruct,73.33,17.0,4.06,0.37,0.0,0.0,100,Hindi
openai/tiktoken/cl100k_base,124.28,46.18,2.46,0.24,0.0,0.0,100,Hindi
mistralai/Mistral-7B-Instruct-v0.3,134.29,41.19,2.28,0.24,0.0,0.0,100,Hindi
Xenova/distilgpt2,177.77,63.67,1.67,0.11,0.0,0.0,100,Hindi
ai4bharat/IndicBERTv2-MLM-only,36.18,6.67,4.44,1.33,0.0,0.0,100,Hinglish
InvincibleSloth/muril-tokenizer,37.5,8.87,4.3,1.5,0.0,40.0,100,Hinglish
Xenova/xlm-roberta-base,38.35,8.4,4.22,1.0,0.0,37.0,100,Hinglish
Xenova/bert-base-multilingual-uncased,39.34,9.63,4.04,1.18,0.0,100.0,100,Hinglish
openai/tiktoken/o200k_base,42.4,10.7,3.76,0.87,0.0,0.0,100,Hinglish
Xenova/bert-base-uncased,43.1,11.55,3.68,1.13,0.0,100.0,100,Hinglish
Xenova/t5-small,47.75,8.13,3.39,0.74,0.0,100.0,100,Hinglish
meta-llama/Meta-Llama-3.1-8B-Instruct,48.32,11.99,3.34,0.67,0.0,0.0,100,Hinglish
openai/tiktoken/cl100k_base,60.0,15.41,2.72,0.45,0.0,0.0,100,Hinglish
mistralai/Mistral-7B-Instruct-v0.3,72.36,18.32,2.24,0.52,0.0,0.0,100,Hinglish
Xenova/distilgpt2,76.78,22.3,2.06,0.28,0.0,0.0,100,Hinglish
Xenova/bert-base-multilingual-uncased,41.1,8.53,7.42,4.99,0.0,100.0,100,Kannada
Xenova/bert-base-uncased,41.28,11.18,7.45,5.44,0.0,100.0,100,Kannada
ai4bharat/IndicBERTv2-MLM-only,44.59,9.05,6.66,4.34,0.0,0.0,100,Kannada
InvincibleSloth/muril-tokenizer,45.31,6.61,6.83,2.99,0.0,25.0,100,Kannada
Xenova/xlm-roberta-base,50.0,9.69,6.47,1.79,0.0,24.0,100,Kannada
Xenova/t5-small,56.25,7.86,5.34,2.31,0.0,100.0,100,Kannada
openai/tiktoken/o200k_base,59.26,8.4,5.12,1.77,0.0,0.0,100,Kannada
mistralai/Mistral-7B-Instruct-v0.3,177.83,45.3,1.79,0.16,0.0,0.0,100,Kannada
meta-llama/Meta-Llama-3.1-8B-Instruct,195.29,78.29,1.56,0.07,0.0,0.0,100,Kannada
openai/tiktoken/cl100k_base,195.29,78.29,1.56,0.07,0.0,0.0,100,Kannada
Xenova/distilgpt2,293.59,124.61,1.06,0.06,0.0,0.0,100,Kannada
Xenova/bert-base-uncased,40.21,14.23,8.0,4.99,0.0,100.0,100,Tamil
Xenova/bert-base-multilingual-uncased,40.78,14.98,7.71,4.45,0.0,100.0,100,Tamil
ai4bharat/IndicBERTv2-MLM-only,41.8,7.81,7.57,2.61,0.0,0.0,100,Tamil
InvincibleSloth/muril-tokenizer,42.86,5.75,7.5,2.76,0.0,30.0,100,Tamil
Xenova/xlm-roberta-base,50.0,8.4,6.34,1.74,0.0,28.0,100,Tamil
Xenova/t5-small,52.25,5.97,6.05,1.46,0.0,100.0,100,Tamil
openai/tiktoken/o200k_base,65.71,7.64,5.04,1.09,0.0,0.0,100,Tamil
mistralai/Mistral-7B-Instruct-v0.3,161.65,23.97,2.07,0.22,0.0,0.0,100,Tamil
meta-llama/Meta-Llama-3.1-8B-Instruct,166.68,43.42,1.98,0.11,0.0,0.0,100,Tamil
openai/tiktoken/cl100k_base,166.68,43.42,1.98,0.11,0.0,0.0,100,Tamil
Xenova/distilgpt2,315.08,89.05,1.04,0.04,0.0,0.0,100,Tamil
